URL,Duration (sec),Prompt 1 (sec),Prompt 2 (sec)
https://www.youtube.com/watch?v=OBiNTE14EEg,193,8.16,11.17
https://www.youtube.com/watch?v=inWWhr5tnEA,427,9.15,14.55
https://www.youtube.com/watch?v=j6krFp511HA,466,9.57,12.45
https://www.youtube.com/watch?v=PvLaPKPzq2I,485,8.79,13.14
https://www.youtube.com/watch?v=DKCbsiDBN6c,495,8.58,11.6
https://www.youtube.com/watch?v=u8Xam9EsqXQ,499,9.26,13.06
https://www.youtube.com/watch?v=EwjnF7rFLns,501,7.75,12.36
https://www.youtube.com/watch?v=WSGcmaHNBFM,581,9.76,13.95
https://www.youtube.com/watch?v=IiEAfRoHIH8,599,9.47,10.64
https://www.youtube.com/watch?v=YcRd3WMbXnE,603,11.68,14.46
https://www.youtube.com/watch?v=uzGzSHGip_o,641,9.89,15.21
https://www.youtube.com/watch?v=ex9sPLq5CRg,675,9.64,12.42
https://www.youtube.com/watch?v=-qOVVRIZzao,697,10.91,13.38
https://www.youtube.com/watch?v=5ykewHgHYBI,708,10.63,12.66
https://www.youtube.com/watch?v=cR4Re0YfoOo,831,10.96,15.97
https://www.youtube.com/watch?v=LOfGJcVnvAk,846,11.56,15.34
https://www.youtube.com/watch?v=oNI0rf2P9gE,853,10.32,13.34
https://www.youtube.com/watch?v=A03oI0znAoc,946,11.75,14.43
https://www.youtube.com/watch?v=dQr4wZCiJJ4,1115,12.31,14.51
https://www.youtube.com/watch?v=qph77bTKJTM,1180,12.81,13.78
