URL,Duration (sec),Prompt 1 (sec),Prompt 2 (sec)
https://www.youtube.com/watch?v=vXOeehVTcRA,118,9.39,9.63
https://www.youtube.com/watch?v=t0qK-q-DmfM,255,9.04,10.75
https://www.youtube.com/watch?v=eKEorBipbO8,340,8.54,11.81
https://www.youtube.com/watch?v=EJHrr21UvY8,410,8.61,10.9
https://www.youtube.com/watch?v=BVnrD9m3nSI,420,9.22,11.03
https://www.youtube.com/watch?v=W4YaemEauGo,423,10.22,12.91
https://www.youtube.com/watch?v=ziXFEbiW5RM,513,8.93,12.27
https://www.youtube.com/watch?v=9BDTtcRMxpA,517,11.82,15.94
https://www.youtube.com/watch?v=dMuG3ZRRTqE,548,10.12,13.25
https://www.youtube.com/watch?v=c1V5TqGuJJs,573,10.54,12.5
https://www.youtube.com/watch?v=6ki0GmxoY6A,593,9.7,11.65
https://www.youtube.com/watch?v=CWulQ1ZSE3c,603,12.42,16.28
https://www.youtube.com/watch?v=eWSuB_XlmgQ,643,10.58,14.12
https://www.youtube.com/watch?v=P5NijVD94-c,643,12.95,14.24
https://www.youtube.com/watch?v=dpUAecLQNnw,648,12.71,13.15
https://www.youtube.com/watch?v=rKp4pe92ljg,693,13.14,15.64
https://www.youtube.com/watch?v=5u40QvMfpCU,716,12.25,13.84
https://www.youtube.com/watch?v=UkSa3C_AXUU,799,10.86,14.75
https://www.youtube.com/watch?v=MrTxRn9MNWM,868,12.15,14.12
https://www.youtube.com/watch?v=jGOKug-dA0g,1078,12.92,14.25
