URL,Duration (sec),Prompt 1 (sec),Prompt 2 (sec)
https://www.youtube.com/watch?v=ChK3KzHNrlc,434,11.9,13
https://www.youtube.com/watch?v=0pmdJofO5tI,449,9.87,13.47
https://www.youtube.com/watch?v=3lveqUlGav8,485,12.41,14.86
https://www.youtube.com/watch?v=NwTkF2oiovk,510,11.34,15.76
https://www.youtube.com/watch?v=azKwgt-a2Kg,531,8.61,11.52
https://www.youtube.com/watch?v=orlUDdeoxZQ,539,11,16.59
https://www.youtube.com/watch?v=OoROeEFI9p0,571,11.75,15.06
https://www.youtube.com/watch?v=sLdm8ejXoJ4,623,11.38,14.83
https://www.youtube.com/watch?v=45c5tDIJy0Q,655,12.16,14.28
https://www.youtube.com/watch?v=02LAx-CZ-0Q,717,10.85,14.95
https://www.youtube.com/watch?v=6fQpIauzJ_A,719,11.3,14.54
https://www.youtube.com/watch?v=-OW4AIfo9uM,771,11.26,14.51
https://www.youtube.com/watch?v=FGvdNUgC5Kk,919,9.01,13.12
https://www.youtube.com/watch?v=nirHSW3QXwQ,953,13.3,14.99
https://www.youtube.com/watch?v=w-I92mT_O7Q,965,13.77,16.53
https://www.youtube.com/watch?v=Rod7iyrpucE,985,12.34,16.49
https://www.youtube.com/watch?v=65ZzuiaB_wE,999,13.08,15.94
https://www.youtube.com/watch?v=xLTCivIB4kU,1132,13.03,15.84
https://www.youtube.com/watch?v=QAW4z3WMf7E,1217,12.64,15.05
https://www.youtube.com/watch?v=jfNJb0Hu0MM,1245,13.11,16.42
